10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
The fluoroquinolones for urinary tract infections: a review.
1	0	2	O	The
2	4	19	U-UNK	fluoroquinolones
3	21	23	O	for
4	25	31	O	urinary
5	33	37	O	tract
6	39	48	O	infections
7	49	49	O	:
8	51	51	O	a
9	53	58	O	review
NULL

10150268.xml	DDI-MedLine.d78.s1	NO_SECTION	NO_SETID	24
The fluoroquinolones are a rapidly growing class of antibiotics with a broad spectrum of activity against gram-negative and some gram-positive aerobic bacteria.
1	0	2	O	The
2	4	19	U-UNK	fluoroquinolones
3	21	23	O	are
4	25	25	O	a
5	27	33	O	rapidly
6	35	41	O	growing
7	43	47	O	class
8	49	50	O	of
9	52	62	U-UNK	antibiotics
10	64	67	O	with
11	69	69	O	a
12	71	75	O	broad
13	77	84	O	spectrum
14	86	87	O	of
15	89	96	O	activity
16	98	104	O	against
17	106	109	O	gram
18	111	118	O	negative
19	120	122	O	and
20	124	127	O	some
21	129	132	O	gram
22	134	141	O	positive
23	143	149	O	aerobic
24	151	158	O	bacteria
NULL

10150268.xml	DDI-MedLine.d78.s2	NO_SECTION	NO_SETID	45
These agents, including norfloxacin, ciprofloxacin, ofloxacin, enoxacin, and lomefloxacin, have been extensively studied and have demonstrated efficacy and safety profiles comparable to those of other traditional agents for the treatment of complicated or uncomplicated urinary tract infections and prostatitis.
1	0	4	O	These
2	6	11	O	agents
3	12	12	O	,
4	14	22	O	including
5	24	34	U-UNK	norfloxacin
6	35	35	O	,
7	37	49	U-UNK	ciprofloxacin
8	50	50	O	,
9	52	60	U-UNK	ofloxacin
10	61	61	O	,
11	63	70	U-UNK	enoxacin
12	71	71	O	,
13	73	75	O	and
14	77	88	U-UNK	lomefloxacin
15	89	89	O	,
16	91	94	O	have
17	96	99	O	been
18	101	111	O	extensively
19	113	119	O	studied
20	121	123	O	and
21	125	128	O	have
22	130	141	O	demonstrated
23	143	150	O	efficacy
24	152	154	O	and
25	156	161	O	safety
26	163	170	O	profiles
27	172	181	O	comparable
28	183	184	O	to
29	186	190	O	those
30	192	193	O	of
31	195	199	O	other
32	201	211	O	traditional
33	213	218	O	agents
34	220	222	O	for
35	224	226	O	the
36	228	236	O	treatment
37	238	239	O	of
38	241	251	O	complicated
39	253	254	O	or
40	256	268	O	uncomplicated
41	270	276	O	urinary
42	278	282	O	tract
43	284	293	O	infections
44	295	297	O	and
45	299	309	O	prostatitis
NULL

10150268.xml	DDI-MedLine.d78.s3	NO_SECTION	NO_SETID	27
Advantages offered by this class of antibiotics include optimal pharmacokinetics, effectiveness against multidrug-resistant organisms, and oral administration even when parenteral antibiotics are generally used.
1	0	9	O	Advantages
2	11	17	O	offered
3	19	20	O	by
4	22	25	O	this
5	27	31	O	class
6	33	34	O	of
7	36	46	U-UNK	antibiotics
8	48	54	O	include
9	56	62	O	optimal
10	64	79	O	pharmacokinetics
11	80	80	O	,
12	82	94	O	effectiveness
13	96	102	O	against
14	104	112	O	multidrug
15	114	122	O	resistant
16	124	132	O	organisms
17	133	133	O	,
18	135	137	O	and
19	139	142	O	oral
20	144	157	O	administration
21	159	162	O	even
22	164	167	O	when
23	169	178	O	parenteral
24	180	190	U-UNK	antibiotics
25	192	194	O	are
26	196	204	O	generally
27	206	209	O	used
NULL

10150268.xml	DDI-MedLine.d78.s4	NO_SECTION	NO_SETID	9
The fluoroquinolones are also extensively used in urologic surgery.
1	0	2	O	The
2	4	19	U-UNK	fluoroquinolones
3	21	23	O	are
4	25	28	O	also
5	30	40	O	extensively
6	42	45	O	used
7	47	48	O	in
8	50	57	O	urologic
9	59	65	O	surgery
NULL

10226677.xml	DDI-MedLine.d80.s0	NO_SECTION	NO_SETID	8
Progestin-only oral contraception: a comprehensive review.
1	0	8	O	Progestin
2	10	13	O	only
3	15	18	O	oral
4	20	32	O	contraception
5	33	33	O	:
6	35	35	O	a
7	37	49	O	comprehensive
8	51	56	O	review
NULL

10226677.xml	DDI-MedLine.d80.s1	NO_SECTION	NO_SETID	42
In order to provide information for the appropriate package insert labeling of progestin-only oral contraceptives (POC) in the US, a comprehensive review was made of norgestrel (0.075 mg) and norethindrone (0.35 mg), with the clinical differences indicated where applicable.
1	0	1	O	In
2	3	7	O	order
3	9	10	O	to
4	12	18	O	provide
5	20	30	O	information
6	32	34	O	for
7	36	38	O	the
8	40	50	O	appropriate
9	52	58	O	package
10	60	65	O	insert
11	67	74	O	labeling
12	76	77	O	of
13	79	87	B-UNK	progestin
14	89	92	I-UNK	only
15	94	97	I-UNK	oral
16	99	112	L-UNK	contraceptives
17	115	117	U-UNK	POC
18	120	121	O	in
19	123	125	O	the
20	127	128	O	US
21	129	129	O	,
22	131	131	O	a
23	133	145	O	comprehensive
24	147	152	O	review
25	154	156	O	was
26	158	161	O	made
27	163	164	O	of
28	166	175	U-UNK	norgestrel
29	178	182	O	0.075
30	184	185	O	mg
31	188	190	O	and
32	192	204	U-UNK	norethindrone
33	207	210	O	0.35
34	212	213	O	mg
35	215	215	O	,
36	217	220	O	with
37	222	224	O	the
38	226	233	O	clinical
39	235	245	O	differences
40	247	255	O	indicated
41	257	261	O	where
42	263	272	O	applicable
NULL

10226677.xml	DDI-MedLine.d80.s2	NO_SECTION	NO_SETID	19
The goal of this review was to cite primary sources for virtually all research specific to POPs since 1975.
1	0	2	O	The
2	4	7	O	goal
3	9	10	O	of
4	12	15	O	this
5	17	22	O	review
6	24	26	O	was
7	28	29	O	to
8	31	34	O	cite
9	36	42	O	primary
10	44	50	O	sources
11	52	54	O	for
12	56	64	O	virtually
13	66	68	O	all
14	70	77	O	research
15	79	86	O	specific
16	88	89	O	to
